                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.98778,                0.99082,                 1.4794,                0.88152,                0.78406,                0.88791,                0.68464,                0.83538,                0.80653,                 1.3544,                0.00307,                0.00307,                0.00307
                     37,                0.95145,                0.95873,                 1.4507,                0.88643,                0.78249,                0.88596,                0.69594,                0.82941,                0.78134,                 1.3649,               0.002872,               0.002872,               0.002872
                     38,                 0.9605,                0.93097,                 1.4725,                 0.9025,                0.79434,                0.90047,                0.69863,                0.80232,                0.76999,                 1.3306,               0.002674,               0.002674,               0.002674
                     39,                0.94124,                0.92841,                 1.4474,                0.86949,                0.83033,                0.88839,                0.70708,                0.80149,                0.76553,                 1.3259,               0.002476,               0.002476,               0.002476
                     40,                0.92362,                0.93164,                  1.429,                0.86991,                0.80794,                0.89315,                0.69335,                0.80239,                0.76646,                 1.3241,               0.002278,               0.002278,               0.002278
                     41,                0.82494,                0.75631,                 1.3373,                0.86703,                0.80461,                0.88822,                0.69307,                0.81998,                0.76631,                 1.3541,                0.00208,                0.00208,                0.00208
                     42,                0.80626,                0.73961,                 1.3186,                0.92741,                0.80463,                0.89859,                0.71059,                0.80737,                0.75069,                 1.3295,               0.001882,               0.001882,               0.001882
                     43,                0.76755,                0.69665,                 1.2898,                0.91825,                0.80847,                0.90011,                0.71346,                0.80428,                0.73207,                 1.3239,               0.001684,               0.001684,               0.001684
                     44,                0.79228,                0.70806,                 1.3133,                0.91557,                0.79434,                0.89221,                0.71176,                0.77823,                0.74295,                 1.3068,               0.001486,               0.001486,               0.001486
                     45,                0.78082,                0.68121,                 1.2978,                0.89971,                 0.8072,                0.89679,                0.71144,                0.78319,                0.72454,                 1.3149,               0.001288,               0.001288,               0.001288
                     46,                0.75916,                0.67052,                 1.2739,                0.89243,                0.83033,                0.90181,                0.71816,                 0.7938,                0.72519,                 1.3199,                0.00109,                0.00109,                0.00109
                     47,                0.73069,                0.63936,                 1.2578,                0.92868,                0.80336,                0.90158,                0.71452,                 0.7901,                0.71144,                 1.3199,               0.000892,               0.000892,               0.000892
                     48,                0.73348,                0.63075,                 1.2546,                0.92095,                0.81748,                0.90636,                0.72034,                0.78436,                0.70159,                 1.3178,               0.000694,               0.000694,               0.000694
                     49,                0.74464,                0.65721,                 1.2687,                0.90826,                0.84062,                0.90998,                0.72218,                0.77185,                0.70342,                 1.3025,               0.000496,               0.000496,               0.000496
                     50,                0.73393,                0.63724,                 1.2566,                0.92487,                0.80977,                0.90961,                0.72734,                0.76912,                 0.6853,                 1.3009,               0.000298,               0.000298,               0.000298
